entity_level,county_id,district_id,school_id,nces_dist,nces_sch
District,01,0010,,3400660,
District,01,0110,,3400960,
District,01,0120,,3400990,
District,01,0125,,3400006,
District,01,0570,,3402340,
District,01,0590,,3402400,
District,01,1300,,3404530,
District,01,1310,,3404560,
District,01,1410,,3404860,
District,01,1540,,3405280,
District,01,1690,,3405730,
District,01,1790,,3406060,
District,01,1940,,3406510,
District,01,1960,,3406570,
District,01,2680,,3408670,
District,01,2910,,3409360,
District,01,3020,,3409690,
District,01,3480,,3411070,
District,01,3720,,3411790,
District,01,4180,,3413200,
District,01,4240,,3413380,
District,01,4800,,3415030,
District,01,5350,,3416680,
District,01,5760,,3417850,
District,03,0040,,3400750,
District,03,0080,,3400870,
District,03,0285,,3401450,
District,03,0290,,3401470,
District,03,0300,,3401500,
District,03,0440,,3401920,
District,03,0740,,3402790,
District,03,0745,,3402800,
District,03,0890,,3403270,
District,03,0930,,3403390,
District,03,0990,,3403600,
District,03,1070,,3403810,
District,03,1130,,3403990,
District,03,1230,,3404290,
District,03,1270,,3404440,
District,03,1345,,3404660,
District,03,1360,,3404710,
District,03,1370,,3404740,
District,03,1380,,3404770,
District,03,1450,,3404980,
District,03,1470,,3405070,
District,03,1550,,3405310,
District,03,1580,,3405370,
District,03,1700,,3405760,
District,03,1760,,3405970,
District,03,1860,,3406270,
District,03,2050,,3406840,
District,03,2080,,3406930,
District,03,2090,,3406960,
District,03,2180,,3407260,
District,03,2200,,3407320,
District,03,2620,,3408520,
District,03,2710,,3408760,
District,03,2740,,3408850,
District,03,2860,,3409210,
District,03,2900,,3409330,
District,03,3060,,3409810,
District,03,3170,,3410140,
District,03,3330,,3410620,
District,03,3350,,3410680,
District,03,3550,,3411280,
District,03,3600,,3411430,
District,03,3700,,3411730,
District,03,3710,,3411760,
District,03,3730,,3411820,
District,03,3740,,3411850,
District,03,3760,,3411910,
District,03,3850,,3412180,
District,03,3870,,3412240,
District,03,3910,,3412360,
District,03,3930,,3412420,
District,03,3940,,3412450,
